"StartDevice","EndDevice"
"tyo31-0100-0001-01sw","tyo31-0100-0002-01sw"
"icr01.yto30","ier01.yto30"
"bl20-0100-0100-02sw","nyc30-0100-0002-01sw"
"bl20-0100-0100-01sw","bn6-0100-0001-01sw"
"ibr02.gvx11","ibr02.gvx01"
"ter02.doh30","ier02.doh30"
"icr07.mwh01","ibr03.mwh01"
"phx70-0100-0002-01sw","sn6-0100-0002-01sw"
"ibr01.atl30","ibr01.bn6"
"ibr01.par21","ibr03.vie"
"ibr01.gvx01","rwa01.gvx01"
"icr01.sg2","sg3-96cbe-1a"
"ibr01.mia","ibr02.mia"
"ibr01.pus04","ibr01.pus20"
"ibr02.sg2","icr02.sg2"
"pdx30-0100-0002-01sw","pdx31-0100-0002-01sw"
"hkg31-0100-0001-01sw","hkg31-0100-0002-01sw"
"ibr02.pnq20","rwa02.pnq20"
"mwh01-0100-0002-01sw","pdx31-0100-0002-01sw"
"ibr02.cle30","ibr02.ewr30"
"icr07.dsm05","ibr03.dsm05"
"ibr02.osa20","ibr02.tyo31"
"dal-96cbe-1b","icr02.sn1"
"icr03.bl20","ibr04.bl20"
"ibr01.sn1","ibr02.sn1"
"ibr01.cpq20","ibr01.sao30"
"ibr01.cle30","ibr01.ewr30"
"ibr02.ewr30","ibr02.sxl71"
"lon24-0100-0001-01sw","par21-0100-0001-01sw"
"hel01-96cbe-1b","ibr02.hel01"
"ibr01.cys04","ibr03.by4"
"dsm05-0100-0004-01sw","sn6-0100-0002-01sw"
"ibr06.ams06","icr03.ams06"
"ibr01.cys04","ibr01.dsm05"
"rwa03.phx10","phx10-0100-0001-01sw"
"icr03.par30","par30-0100-0001-01sw"
"ibr02.dub07","ibr02.lon22"
"ibr01.doh20","rwa03.doh20"
"par30-0100-0001-01sw","par30-0100-0002-01sw"
"fra23-0100-0002-01sw","vie20-0100-0001-02sw"
"ier02.tlv31","rwa08.tlv20"
"gvx11-0100-0001-01sw","rwa02.gvx11"
"icr02.red30","icr02.red31"
"ibr01.ams21","ibr02.ams21"
"icr02.lon24","lts-96cbe-1b"
"ibr05.ams06","ibr06.ams06"
"bl7-0100-0200-01sw","bn6-0100-0003-01sw"
"icr01.fra21","fra21-0100-0002-01sw"
"ibr01.ber20","ibr01.mma01"
"icr04.by4","ibr04.by4"
"ibr01.str02","ibr02.str02"
"icr07.dsm05","ibr03.dsm05"
"icr01.mwh01","ier05.stb"
"phx70-0100-0002-01sw","sn6-0100-0002-01sw"
"cys04-0100-0001-01sw","dsm05-0100-0001-01sw"
"ibr01.cle02","ibr01.cle30"
"mel01-0100-0001-01sw","icr02.mel01"
"icr06.dsm05","ibr01.dsm05"
"ibr01.vie","ibr03.vie"
"mex30-96cbe-1b","rwa04.qro21"
"ibr01.pnq21","rwa03.pnq21"
"ibr01.fra23","ibr01.vie20"
"ibr01.mel01","icr02.mel01"
"icr05.bn6","ibr02.bn6"
"ewr30-0100-0001-01sw","ewr30-0100-0002-01sw"
"ibr01.for01","ibr02.for01"
"rwa04.bom01","ier02.bom30"
"icr02.sg3","ibr02.sg3"
"ibr02.gru30","ibr02.sao30"
"ier03.lon34","icr03.lon22"
"cys04-0100-0001-01sw","mwh01-0100-0001-01sw"
"ibr02.mrs20","ibr02.sg2"
