0,1,2
2.7530184,-2.3001804,2.3625302
-0.5922675,-2.0381064,2.1135137
1.3702365,-1.7822152,-0.4986064
0.65995187,-5.014925,1.6789001
0.98343456,-3.6204174,0.63507557
-0.14982824,-3.5933628,1.772546
0.9863691,-1.9116564,2.532405
2.1184964,-4.834164,4.3495193
-0.31393075,-3.0521905,3.3994088
-2.084975,-5.2902684,0.8057471
0.33703786,-2.2762835,0.8177978
-0.5482128,-3.381026,-0.25141734
2.714805,-3.5956483,3.4973443
0.5942769,-4.5536075,3.4272075
1.4116064,-3.4166462,2.3953917
-0.10843029,-0.9355468,-0.02771213
2.2024114,-1.7840161,3.8754795
0.9171066,-0.6237077,1.2682366
-1.7257323,-3.4873183,1.129218
2.1459029,-4.903288,2.5238366
1.9668975,-2.0259485,1.0518911
-0.6013781,-6.3360295,1.7040818
-0.15289582,-2.0378566,-1.3145409
2.6520586,-3.677793,1.2775806
3.8655202,-3.320144,-0.8736213
0.34029165,-1.5797889,4.029485
-0.8514818,-0.48917982,1.5954454
2.0671432,-5.123483,0.7711026
2.237835,-3.2357244,-0.28806567
2.5655847,-0.4924699,0.4975245
-2.2665865,-1.7561613,1.7650913
-1.1276251,-4.3660045,4.303955
0.7670117,-6.40846,0.46389
3.6733174,-2.3352513,0.70262516
-1.1341391,-4.809214,2.449446
2.5722473,-6.4378824,3.5012476
3.1855073,-1.5638644,-0.92499274
-2.5562444,-0.001247962,2.2891247
-0.9859375,0.78714645,3.4365268
-3.5229971,-3.165755,1.653638
-0.4984622,-4.911891,0.48627916
-3.919957,-4.94382,0.8437402
0.7862888,-6.3414507,2.9324749
-1.2781092,-2.0057478,0.3622269
3.889188,-0.9585434,2.0270467
-3.1371615,-2.0109496,0.09542253
4.671234,-3.8877096,0.7718511
-1.317809,-1.0463372,3.3265274
3.6830492,-5.4109225,1.6394506
1.177583,0.23735997,-0.39061177
1.3963711,-0.10408808,4.3588977
2.136733,-0.521714,2.4921007
-0.5815462,-3.5519493,-2.3895597
-2.821554,-3.8207917,-0.21797244
1.4711283,-1.6162912,5.569051
1.7824899,-0.64092094,-1.9559444
-2.0169277,-3.2512212,2.844106
1.7868927,0.99879694,1.308055
-2.9041579,-4.9276104,2.4933693
-1.9307657,-2.7809758,-1.3729384
-1.7895712,-0.9887926,-1.1382024
0.96687955,-3.4232059,-1.4400983
0.8603468,-6.106618,4.848363
-0.115446635,-0.25045416,-1.9205507
-1.2582544,-1.8273754,-2.896978
5.163951,-3.6362755,3.7195683
-0.2613796,-2.621316,5.4761777
1.2071671,-3.1606617,4.1812043
1.2714736,1.3852638,3.0603628
2.4937317,-4.4322357,-1.767327
0.4037062,-0.2236153,2.906877
-1.8254429,-2.3885024,4.4089394
1.9787378,-6.1564007,-1.2468244
-1.4791783,-4.665759,-1.1908187
0.19319859,-5.231708,-2.1617181
4.071945,-2.1632211,3.5996046
5.0512156,-2.3187976,1.9445779
-0.11915011,1.188022,1.6727527
3.9870393,-3.720467,2.3619666
-0.68388784,-6.325212,-0.7191142
2.1350558,-6.7097855,1.718526
-0.98531836,-6.271968,3.7522674
4.3728247,-0.56941295,0.21652454
3.3964872,0.8488932,2.4218085
3.4493392,-4.898832,-0.19773531
3.7941475,-3.8169487,5.04897
-2.4464443,-0.2895138,0.49351096
-3.238161,-1.747509,3.256777
0.90319,-4.8609877,-0.49151838
0.7964531,-2.003803,-2.852075
3.0941455,-6.8154397,0.12867792
3.4100347,-1.925437,5.326774
0.53671753,1.9490533,0.043080296
-0.57698613,-0.60627806,5.1889334
2.4548829,-2.6411803,-2.3424811
0.39097604,-4.390922,5.384428
2.0334966,-3.4412246,5.727823
4.0235357,-5.2000318,3.5018408
3.556823,-0.32259166,4.0112534
-0.9127184,0.6183298,-0.056894485
